"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"carros.nlogo"
"densidad_flujo"
"10/26/2024 14:51:22:496 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","metrica_flujo"
"8","aleatoria","1","0.0045","aleatoria","0.026","200","0.6666666666666666"
"7","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9130434782608695"
"1","aleatoria","1","0.0045","aleatoria","0.026","950","0.8888888888888888"
"3","aleatoria","1","0.0045","aleatoria","0.026","2850","0.9642857142857143"
"8","aleatoria","1","0.0045","aleatoria","0.026","250","0.75"
"5","aleatoria","1","0.0045","aleatoria","0.026","2000","0.9743589743589743"
"7","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9166666666666666"
"1","aleatoria","1","0.0045","aleatoria","0.026","1000","0.8947368421052632"
"3","aleatoria","1","0.0045","aleatoria","0.026","2900","0.9649122807017544"
"8","aleatoria","1","0.0045","aleatoria","0.026","300","0.8"
"5","aleatoria","1","0.0045","aleatoria","0.026","2050","0.975"
"1","aleatoria","1","0.0045","aleatoria","0.026","1050","0.9"
"7","aleatoria","1","0.0045","aleatoria","0.026","1300","0.92"
"8","aleatoria","1","0.0045","aleatoria","0.026","350","0.8333333333333334"
"5","aleatoria","1","0.0045","aleatoria","0.026","2100","0.975609756097561"
"3","aleatoria","1","0.0045","aleatoria","0.026","2950","0.9655172413793104"
"1","aleatoria","1","0.0045","aleatoria","0.026","1100","0.9047619047619048"
"7","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9230769230769231"
"8","aleatoria","1","0.0045","aleatoria","0.026","400","0.8571428571428571"
"5","aleatoria","1","0.0045","aleatoria","0.026","2150","0.9761904761904762"
"3","aleatoria","1","0.0045","aleatoria","0.026","3000","0.9661016949152542"
"1","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9090909090909091"
"9","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"7","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9259259259259259"
